NAME                                                                                     VERSION                               TYPE       
github.com/munnerz/goautoneg                                                             v0.0.0-20191010083416-a7dc8b61c822    go-module  
github.com/notaryproject/notation-core-go                                                v1.0.3                                go-module  
github.com/notaryproject/notation-go                                                     v1.1.1                                go-module  
github.com/notaryproject/notation-plugin-framework-go                                    v1.0.0                                go-module  
github.com/nozzle/throttler                                                              v0.0.0-20180817012639-2ea982251481    go-module  
github.com/oklog/ulid                                                                    v1.3.1                                go-module  
github.com/oleiade/reflections                                                           v1.0.1                                go-module  
github.com/oliveagle/jsonpath                                                            v0.0.0-20180606110733-2e52cf6e6852    go-module  
github.com/open-policy-agent/gatekeeper/v3                                               v3.14.0                               go-module  
github.com/open-policy-agent/opa                                                         v0.61.0                               go-module  
github.com/opencontainers/go-digest                                                      v1.0.0                                go-module  
github.com/opencontainers/image-spec                                                     v1.1.0                                go-module  
github.com/opentracing/opentracing-go                                                    v1.2.0                                go-module  
github.com/pborman/uuid                                                                  v1.2.1                                go-module  
github.com/pelletier/go-toml/v2                                                          v2.2.2                                go-module  
github.com/peterbourgon/diskv                                                            v2.0.1+incompatible                   go-module  
github.com/pkg/browser                                                                   v0.0.0-20240102092130-5ac0b6a4141c    go-module  
github.com/pkg/errors                                                                    v0.9.1                                go-module  
github.com/prometheus/client_golang                                                      v1.18.0                               go-module  
github.com/prometheus/client_model                                                       v0.6.0                                go-module  
github.com/prometheus/common                                                             v0.44.0                               go-module  
github.com/prometheus/procfs                                                             v0.12.0                               go-module  
github.com/protocolbuffers/txtpbfmt                                                      v0.0.0-20240116145035-ef3ab179eed6    go-module  
github.com/r3labs/diff                                                                   v1.1.0                                go-module  
github.com/rcrowley/go-metrics                                                           v0.0.0-20201227073835-cf1acfcdf475    go-module  
github.com/robfig/cron                                                                   v1.2.0                                go-module  
github.com/rogpeppe/go-internal                                                          v1.12.0                               go-module  
github.com/ryanuber/go-glob                                                              v1.0.0                                go-module  
github.com/sagikazarmark/slog-shim                                                       v0.1.0                                go-module  
github.com/sassoftware/relic                                                             v7.2.1+incompatible                   go-module  
github.com/secure-systems-lab/go-securesystemslib                                        v0.8.0                                go-module  
github.com/segmentio/ksuid                                                               v1.0.4                                go-module  
github.com/shibumi/go-pathspec                                                           v1.3.0                                go-module  
github.com/sigstore/fulcio                                                               v1.4.3                                go-module  
github.com/sigstore/k8s-manifest-sigstore                                                v0.5.4                                go-module  
github.com/sigstore/rekor                                                                v1.3.6                                go-module  
github.com/sigstore/sigstore                                                             v1.8.4                                go-module  
github.com/sigstore/sigstore/pkg/signature/kms/aws                                       v1.8.4                                go-module  
github.com/sigstore/sigstore/pkg/signature/kms/azure                                     v1.8.4                                go-module  
github.com/sigstore/sigstore/pkg/signature/kms/gcp                                       v1.8.4                                go-module  
github.com/sigstore/sigstore/pkg/signature/kms/hashivault                                v1.8.4                                go-module  
github.com/sigstore/timestamp-authority                                                  v1.2.2                                go-module  
github.com/sirupsen/logrus                                                               v1.9.3                                go-module  
github.com/skratchdot/open-golang                                                        v0.0.0-20200116055534-eef842397966    go-module  
github.com/spf13/afero                                                                   v1.11.0                               go-module  
github.com/spf13/cast                                                                    v1.6.0                                go-module  
github.com/spf13/cobra                                                                   v1.8.1                                go-module  
github.com/spf13/pflag                                                                   v1.0.5                                go-module  
github.com/spf13/viper                                                                   v1.19.0                               go-module  
